,0
85,#ATENCIÓN | Guayas es la provincia que más casos concentra con 14.362 personas contagiadas. Le siguen Pichincha (4.478) y Manabí (2.821). » https://t.co/xquDOCCnNm https://t.co/uoyGLT1KED
86,El coronavirus me tiene pidiendo permisos como si tuviera 18 años de nuevo 😳
87,"#URGENTE 
42728 casos confirmados
3608 fallecidos en el Ecuador por coronavirus https://t.co/ifoHVxaObt"
88,"#ATENCIÓN | Hasta esta fecha, hay aún 17.435 personas contagiadas en aislamiento domiciliario, 439 pacientes hospitalizados estables y 226 hospitalizados con pronóstico reservado. » https://t.co/Hsb9XWQ00Z https://t.co/mzdeWI8RMM"
89,Clubes de LigaPro cumplen pruebas de coronavirus (VIDEO) https://t.co/2hChcZmBD6
90,"#ATENCIÓN | Este 6 de junio, las cifras del avance de la epidemia de #coronavirus en Ecuador son: » https://t.co/u9iYXcHzXL https://t.co/ovUUhKrjQq"
91,@Tu_Bombonzito Que se acabe del coronavirus.
92,"Coronavirus en Ecuador: sábado 6 de junio: 42728 confirmados, 3608 fallecidos. Más detalles 👉https://t.co/9PltmPdcmt https://t.co/O21UKaE4dD"
93,#Mundo: América Latina no puede con el coronavirus y Bolsonaro amenaza con sacar a Brasil de OMS || Diario El Comercio ||  https://t.co/lS7sV15bMI https://t.co/Q0YjxRKnIX
94,"Casos de #coronavirusenEcuador: sábado 6 de junio: 42 728 confirmados, 3608 fallecidos. ► https://t.co/KrRQjsAIAt https://t.co/khP3pBWqBC"
95,El doctor Carlos Verá Mora representante del comité del coronavirus de la ciudad de guayaquil hace una donación de insumos médicos al dr Rodrigo Mena alcalde del cantón el carmen 🙏 https://t.co/NRZIK35KKD
96,¡ATENCIÓN! Cifras de Covid-19 en Ecuador de este sábado 6 de junio https://t.co/4viXv5CYIU https://t.co/ab6qHCcupB
97,¡ATENCIÓN! Este sábado la cifra de casos de Covid-19 en Ecuador pasó los 42.700  https://t.co/4viXv5CYIU
98,"Si no te da Coronavirus, te puedo dar yo? 😏😖"
